Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,CALL-2M,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,National 2m VHF Simplex Calling (146.520 MHz),,,,
1,K4GAS,146.940000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,High,K4GAS - Statesboro - GA - ARES - SKYWARN - LINKED,,,,
2,W4MTR,444.800000,+,5.000000,Tone,141.3,141.3,023,NN,FM,5.00,,High,W4MTR - Metter - GA - ARES,,,,
3,W4VDA,147.240000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,High,W4VDA - Vidalia - GA - SKYWARN,,,,
4,WR4A,145.450000,-,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,High,WR4A - Swainsboro - GA,,,,
5,GMRS01,462.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS/FRS 1 (462.5625 MHz),,,,
6,GMRS02,462.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS/FRS 2 (462.5875 MHz),,,,
7,GMRS03,462.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS/FRS 3 (462.6125 MHz),,,,
8,GMRS04,462.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS/FRS 4 (462.6375 MHz),,,,
9,GMRS05,462.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS/FRS 5 (462.6625 MHz),,,,
10,GMRS06,462.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS/FRS 6 (462.6875 MHz),,,,
11,GMRS07,462.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS/FRS 7 (462.7125 MHz),,,,
12,GMRS08,467.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,FRS 8 (467.5625 MHz),,,,
13,GMRS09,467.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,FRS 9 (467.5875 MHz),,,,
14,GMRS10,467.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,FRS 10 (467.6125 MHz),,,,
15,GMRS11,467.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,FRS 11 (467.6375 MHz),,,,
16,GMRS12,467.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,FRS 12 (467.6625 MHz),,,,
17,GMRS13,467.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,FRS 13 (467.6875 MHz),,,,
18,GMRS14,467.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,FRS 14 (467.7125 MHz),,,,
19,GMRS15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS 15 (462.5500 MHz),,,,
20,GMRS16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS 16 (462.5750 MHz),,,,
21,GMRS17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS 17 (462.6000 MHz),,,,
22,GMRS18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS 18 (462.6250 MHz),,,,
23,GMRS19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS 19 (462.6500 MHz),,,,
24,GMRS20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS 20 (462.6750 MHz),,,,
25,GMRS21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS 21 (462.7000 MHz),,,,
26,GMRS22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS 22 (462.7250 MHz),,,,
27,WX1,162.400000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,NOAA Weather Radio 162.400 MHz (WX2),,,,
28,WX2,162.425000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,NOAA Weather Radio 162.425 MHz (WX4),,,,
29,WX3,162.450000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,NOAA Weather Radio 162.450 MHz (WX5),,,,
30,WX4,162.475000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,NOAA Weather Radio 162.475 MHz (WX3),,,,
31,WX5,162.500000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,NOAA Weather Radio 162.500 MHz (WX6),,,,
32,WX6,162.525000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,NOAA Weather Radio 162.525 MHz (WX7),,,,
33,WX7,162.550000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,NOAA Weather Radio 162.550 MHz (WX1),,,,
