Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,CALL2M,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,National 2m FM Simplex Calling,,,,
1,CALL70,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,National 70cm FM Simplex Calling,,,,
2,2MSIMP1,146.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,2m Simplex Secondary,,,,
3,2MSIMP2,146.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,2m Simplex Secondary,,,,
4,2MSIMP3,146.535000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,2m Simplex Alternate Calling,,,,
5,WX 1,162.550000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,NOAA Weather Ch 1,,,,
6,WX 2,162.400000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,NOAA Weather Ch 2,,,,
7,WX 3,162.475000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,NOAA Weather Ch 3,,,,
8,WX 4,162.425000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,NOAA Weather Ch 4,,,,
9,WX 5,162.450000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,NOAA Weather Ch 5,,,,
10,WX 6,162.500000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,NOAA Weather Ch 6,,,,
11,WX 7,162.525000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,NOAA Weather Ch 7,,,,
12,VCALL,155.752500,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,National VHF Interop Calling,,,,
13,VTAC11,151.137500,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,VHF Tactical Interop 11,,,,
14,VTAC12,154.452500,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,VHF Tactical Interop 12,,,,
15,VFIRE,154.280000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,National Fire Mutual Aid,,,,
16,VMED,155.340000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,National EMS/Hospital Calling,,,,
17,VLAW,155.475000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,National Law Enforcement,,,,
18,SAR,155.160000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,National Search and Rescue,,,,
19,UCALL,453.212500,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,National UHF Interop Calling,,,,
20,MAR 16,156.800000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,Marine Distress and Calling,,,,
21,MAR 09,156.450000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,Marine Boater Calling,,,,
22,MAR 13,156.650000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,Marine Bridge-to-Bridge,,,,
23,AAR046,160.800000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,Railroad Nationwide Road Ch,,,,
24,AAR096,161.550000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,Railroad End-of-Train,,,,
25,AAR008,160.230000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,Railroad Dispatcher,,,,
26,ISS,145.800000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,ISS Crew Voice Downlink,,,,
27,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,MURS License-Free Ch 1,,,,
28,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,MURS License-Free Ch 2,,,,
29,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,MURS License-Free Ch 3,,,,
30,MURS 4,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,MURS License-Free Ch 4,,,,
31,MURS 5,154.600000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,Low,MURS License-Free Ch 5,,,,
32,REDDOT,151.625000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,Business Itinerant Red Dot,,,,
33,BLUSTR,467.850000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,Business Itinerant Blue Star,,,,
34,REDSTR,467.900000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,Low,Business Itinerant Red Star,,,,
35,GMRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,High,GMRS/FRS Ch 1,,,,
36,GMRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,High,GMRS/FRS Ch 5,,,,
37,GMRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,High,GMRS/FRS Ch 7,,,,
38,GMRS15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS Main Ch 15,,,,
39,GMRS19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS Main Ch 19,,,,
40,GMRS20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS Emergency/Traveler Ch 20,,,,
41,GMRS22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,High,GMRS Main Ch 22,,,,
42,GM20R,462.675000,+,5.000000,Tone,141.3,141.3,023,NN,FM,5.00,,High,GMRS Repeater 20 Travel Tone,,,,
43,K4HAO,146.625000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,High,Vidalia 4 Rivers ARC LOCAL,,,,
44,W4VDA,147.240000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Vidalia SKYWARN,,,,
45,W4MTR,444.800000,+,5.000000,Tone,141.3,141.3,023,NN,FM,5.00,,High,Metter ARES,,,,
46,K4GAS,146.940000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,High,Statesboro ARES/SKYWARN,,,,
47,WR4A,145.450000,-,0.600000,Tone,107.2,107.2,023,NN,FM,5.00,,High,Swainsboro Emanuel Co,,,,
