Channel,Bank,Name,Frequency,Mode,Tone,Delay,Lockout,Description
1,1,JVX CTAF,122.8000,AM,0,2,0,Vidalia Regional Airport CTAF UNICOM
2,1,JVX AWOS,121.1250,AM,0,2,0,Vidalia Regional Airport AWOS Weather
3,1,TBR CTAF,122.8000,AM,0,2,0,Statesboro-Bulloch Co Airport UNICOM
4,1,TBR AWOS,118.8250,AM,0,2,0,Statesboro-Bulloch Co Airport AWOS
5,1,DBN CTAF,122.8000,AM,0,2,0,Dublin Laurens Co Airport UNICOM
6,1,DBN AWOS,118.3750,AM,0,2,0,Dublin Laurens Co Airport AWOS
7,1,SBO CTAF,122.8000,AM,0,2,0,Swainsboro-Emanuel Co Airport UNICOM
8,1,SBO AWOS,118.5250,AM,0,2,0,Swainsboro-Emanuel Co Airport AWOS
9,1,SAV TWR,119.1000,AM,0,2,0,Savannah International Tower
10,1,SAV APP1,120.4000,AM,0,2,0,Savannah Approach Depart East
11,1,SAV APP2,125.3000,AM,0,2,0,Savannah Approach Depart West
12,1,SAV GND,121.9000,AM,0,2,0,Savannah International Ground
13,1,SAV ATIS,124.5500,AM,0,2,0,Savannah International ATIS Weather
14,1,MCN TWR,124.9500,AM,0,2,0,Macon Middle GA Regional Tower
15,1,MCN APP,124.2000,AM,0,2,0,Macon Approach Radar Control
16,1,ZTL SEC1,120.4500,AM,0,2,0,Atlanta ARTCC Center Macon Dublin Sector
17,1,ZTL SEC2,127.5000,AM,0,2,0,Atlanta ARTCC Center South GA Sector
18,1,ZJX SEC1,127.5750,AM,0,2,0,Jacksonville ARTCC Coastal GA Sector
19,1,ZJX SEC2,126.7500,AM,0,2,0,Jacksonville ARTCC SE Georgia Sector
20,1,AIR-EMRG,121.5000,AM,0,2,0,International Aviation Emergency Guard
21,1,FSS FLT,122.2000,AM,0,2,0,Flight Service Station Pilot Advisory
22,1,AIR-MULT,122.7500,AM,0,2,0,Air-to-Air Private Pilot Multicom
23,1,AIR-AIR,123.4500,AM,0,2,0,Fingers Pilot-to-Pilot Chat Frequency
24,1,HELI-AIR,123.0500,AM,0,2,0,Helicopter Air-to-Air Flight Coordination
25,1,HELI-UNI,123.0750,AM,0,2,0,Heliport General Advisory
26,1,CTRY UN1,122.7000,AM,0,2,0,Rural Uncontrolled Airfields
27,1,CTRY UN2,122.7250,AM,0,2,0,Rural Airstrips and Crop Dusting
28,1,CTRY UN3,122.9750,AM,0,2,0,Regional Unicom Alternate
29,1,SAR AIR,123.1000,AM,0,2,0,Civil Air Patrol Search and Rescue
30,1,FLIGHT1,122.9000,AM,0,2,0,Flight Instruction Training
31,2,MED-AIR1,123.0250,AM,0,2,0,National Air Ambulance Medevac Air-to-Air
32,2,MED-AIR2,123.0500,AM,0,2,0,Air Evac Lifeteam Flight Coordination
33,2,MED-AIR3,123.0750,AM,0,2,0,Memorial Health Binnicker LZ Advisory
34,2,SAV-LZ,123.1000,AM,0,2,0,Memorial Univ Medical Center Savannah Helipad
35,2,MCN-LZ,123.0250,AM,0,2,0,Atrium Health Navicent Macon Trauma Helipad
36,2,AUG-LZ,123.0500,AM,0,2,0,AU Health Augusta Regional Trauma LZ
37,2,VMED28,155.3400,NFM,0,2,0,National Medical Emergency Calling
38,2,VMED29,155.3550,NFM,0,2,0,Statewide GA EMS Mutual Aid
39,2,VMED30,155.3850,NFM,0,2,0,Hospital Emergency Disaster Net
40,2,MED-1,463.0000,FM,0,2,0,UHF Med Net Channel 1 ER Telemetry
41,2,MED-2,463.0250,FM,0,2,0,UHF Med Net Channel 2 Physician Consult
42,2,MED-3,463.0500,FM,0,2,0,UHF Med Net Channel 3 Trauma Telemetry
43,2,MED-4,463.0750,FM,0,2,0,UHF Med Net Channel 4 Cardiac Telemetry
44,2,MED-5,463.1000,FM,0,2,0,UHF Med Net Channel 5 Hospital Triage
45,2,MED-6,463.1250,FM,0,2,0,UHF Med Net Channel 6 Critical Transfer
46,2,MED-7,463.1500,FM,0,2,0,UHF Med Net Channel 7 Medical Dispatch
47,2,MED-8,463.1750,FM,0,2,0,UHF Med Net Channel 8 Trauma Patch
48,2,MED-9,462.9500,FM,0,2,0,Life Flight Helo Dispatch Patch
49,2,MED-10,462.9750,FM,0,2,0,Life Flight Landing Zone Ground Patch
50,2,GA-HEMS1,155.2800,NFM,0,2,0,State EMS Tactical 1 Field Triage
51,2,GA-HEMS2,155.2200,NFM,0,2,0,State EMS Tactical 2 County Backup
52,2,GA-HEMS3,155.2050,NFM,0,2,0,State EMS Mass Casualty Evacuation
53,2,TOOMBSMED,155.1750,NFM,0,2,0,Toombs County EMS Vidalia Lyons Dispatch
54,2,MONTGMED,155.2950,NFM,0,2,0,Montgomery County EMS Mount Vernon Dispatch
55,2,LAURNMED,155.2350,NFM,0,2,0,Laurens County EMS Dublin Dispatch
56,2,CANDLRMED,155.2650,NFM,0,2,0,Candler County EMS Metter Dispatch
57,2,EMANLMED,155.1600,NFM,0,2,0,Emanuel County EMS Swainsboro Dispatch
58,2,BULLCHMED,155.2500,NFM,0,2,0,Bulloch County EMS Statesboro Dispatch
59,2,EVANSMED,155.2200,NFM,0,2,0,Evans County EMS Claxton Dispatch
60,2,CHATHMMED,155.2800,NFM,0,2,0,Chatham County EMS Savannah Mutual Aid
61,3,CB 19,27.1850,AM,0,2,0,CB Channel 19 Nationwide Interstate Truckers
62,3,CB 09,27.0650,AM,0,2,0,CB Channel 9 Official Emergency and Motorist Aid
63,3,CB 14,27.1250,AM,0,2,0,CB Channel 14 Rural Haulers and Timber Trucks
64,3,CB 17,27.1650,AM,0,2,0,CB Channel 17 North South I-75 Highway Alternate
65,3,CB 21,27.2150,AM,0,2,0,CB Channel 21 East West I-16 Highway Alternate
66,3,CB 06,27.0250,AM,0,2,0,CB Channel 6 Superbowl Long Distance Skip
67,3,CB 11,27.0850,AM,0,2,0,CB Channel 11 Calling Channel
68,3,CB 01,26.9650,AM,0,2,0,CB Channel 1 General Road Chatter
69,3,CB 02,26.9750,AM,0,2,0,CB Channel 2 General Road Chatter
70,3,CB 03,26.9850,AM,0,2,0,CB Channel 3 Farm and Agricultural Transport
71,3,CB 04,27.0050,AM,0,2,0,CB Channel 4 4x4 Off-Road Convoy
72,3,CB 05,27.0150,AM,0,2,0,CB Channel 5 Local Haulers
73,3,CB 07,27.0350,AM,0,2,0,CB Channel 7 General Road Chatter
74,3,CB 08,27.0550,AM,0,2,0,CB Channel 8 General Road Chatter
75,3,CB 10,27.0750,AM,0,2,0,CB Channel 10 Regional Road Traffic
76,3,CB 12,27.1050,AM,0,2,0,CB Channel 12 General Road Chatter
77,3,CB 13,27.1150,AM,0,2,0,CB Channel 13 RV Convoy Channel
78,3,CB 15,27.1350,AM,0,2,0,CB Channel 15 General Road Chatter
79,3,CB 16,27.1550,AM,0,2,0,CB Channel 16 Trail Riders Channel
80,3,CB 18,27.1750,AM,0,2,0,CB Channel 18 Highway Alternate
81,3,CB 20,27.2050,AM,0,2,0,CB Channel 20 General Road Chatter
82,3,CB 22,27.2250,AM,0,2,0,CB Channel 22 General Road Chatter
83,3,CB 23,27.2550,AM,0,2,0,CB Channel 23 Shared General Road
84,3,CB 24,27.2350,AM,0,2,0,CB Channel 24 General Road Chatter
85,3,CB 25,27.2450,AM,0,2,0,CB Channel 25 General Road Chatter
86,3,CB 26,27.2650,AM,0,2,0,CB Channel 26 General Road Chatter
87,3,CB 27,27.2750,AM,0,2,0,CB Channel 27 General Road Chatter
88,3,CB 28,27.2850,AM,0,2,0,CB Channel 28 Long Range Skip
89,3,CB 38,27.3850,AM,0,2,0,CB Channel 38 LSB Calling and Long Distance
90,3,CB 40,27.4050,AM,0,2,0,CB Channel 40 Upper Highway Talk
91,4,AAR-046,160.8000,NFM,0,2,0,AAR 046 Nationwide Standard Road Main
92,4,AAR-008,160.2300,NFM,0,2,0,AAR 008 Norfolk Southern Road Dispatcher
93,4,AAR-096,161.5500,NFM,0,2,0,AAR 096 End-of-Train Brake Telemetry
94,4,AAR-073,161.2050,NFM,0,2,0,AAR 073 Norfolk Southern Yard Switching
95,4,AAR-042,160.7400,NFM,0,2,0,AAR 042 Regional Rail Switching Spurs
96,4,AAR-056,160.9500,NFM,0,2,0,AAR 056 NS Atlanta Division Dispatcher
97,4,AAR-064,161.0700,NFM,0,2,0,AAR 064 NS Coastal Division Dispatcher
98,4,AAR-084,161.3700,NFM,0,2,0,AAR 084 CSX Road Channel SE Georgia
99,4,AAR-032,160.5900,NFM,0,2,0,AAR 032 CSX Dispatcher Channel
100,4,AAR-020,160.4100,NFM,0,2,0,AAR 020 CSX Yard Operations
101,4,AAR-014,160.3200,NFM,0,2,0,AAR 014 Maintenance-of-Way Track Crews
102,4,AAR-072,161.1900,NFM,0,2,0,AAR 072 Defect Detector Hotbox Audio
103,4,AAR-086,161.4000,NFM,0,2,0,AAR 086 Defect Detector Voice Broadcast
104,4,AAR-094,161.5200,NFM,0,2,0,AAR 094 Intermodal Facility Ground Crew
105,4,AAR-022,160.4400,NFM,0,2,0,AAR 022 Shortline Railroad Local Road
106,4,AAR-038,160.6800,NFM,0,2,0,AAR 038 Rail Bridge Tender River Crossing
107,4,AAR-050,160.8600,NFM,0,2,0,AAR 050 Secondary Road Channel
108,4,AAR-058,160.9800,NFM,0,2,0,AAR 058 Secondary Dispatcher Channel
109,4,AAR-066,161.1000,NFM,0,2,0,AAR 066 Industrial Switching
110,4,AAR-076,161.2500,NFM,0,2,0,AAR 076 Track Maintenance Crews
111,4,AAR-080,161.3100,NFM,0,2,0,AAR 080 Rail Safety Inspections
112,4,AAR-088,161.4300,NFM,0,2,0,AAR 088 Train Yard Hump Operations
113,4,AAR-090,161.4600,NFM,0,2,0,AAR 090 Yard Office Dispatch
114,4,AAR-092,161.4900,NFM,0,2,0,AAR 092 Yard Car Inspectors
115,4,AAR-018,160.3800,NFM,0,2,0,AAR 018 Signal Department Maintenance
116,4,AAR-026,160.5000,NFM,0,2,0,AAR 026 Railroad Police Patrol
117,4,AAR-034,160.6200,NFM,0,2,0,AAR 034 Railroad Police Emergency
118,4,AAR-048,160.8300,NFM,0,2,0,AAR 048 Local Switching
119,4,AAR-060,161.0100,NFM,0,2,0,AAR 060 Local Switching
120,4,AAR-070,161.1600,NFM,0,2,0,AAR 070 Local Switching
121,5,MAR 16,156.8000,FM,0,2,0,Marine Ch 16 International Distress Safety Calling
122,5,MAR 09,156.4500,FM,0,2,0,Marine Ch 09 Boater Calling Secondary
123,5,MAR 13,156.6500,FM,0,2,0,Marine Ch 13 Bridge-to-Bridge Navigation
124,5,MAR 22A,157.1000,FM,0,2,0,Marine Ch 22A US Coast Guard Safety Liaison
125,5,MAR 06,156.3000,FM,0,2,0,Marine Ch 06 Inter-ship Safety SAR
126,5,MAR 12,156.6000,FM,0,2,0,Marine Ch 12 Port of Savannah Vessel Traffic
127,5,MAR 14,156.7000,FM,0,2,0,Marine Ch 14 Port Operations Commercial
128,5,MAR 21A,157.0500,FM,0,2,0,Marine Ch 21A US Coast Guard Working
129,5,MAR 23A,157.1500,FM,0,2,0,Marine Ch 23A US Coast Guard Working
130,5,MAR 83A,157.1750,FM,0,2,0,Marine Ch 83A US Coast Guard Auxiliary
131,5,MAR 68,156.4250,FM,0,2,0,Marine Ch 68 Recreational Ship-to-Ship
132,5,MAR 69,156.4750,FM,0,2,0,Marine Ch 69 Recreational Ship-to-Ship
133,5,MAR 71,156.5750,FM,0,2,0,Marine Ch 71 Recreational Ship-to-Ship
134,5,MAR 72,156.6250,FM,0,2,0,Marine Ch 72 Inter-ship Fishing Working
135,5,MAR 78A,156.9250,FM,0,2,0,Marine Ch 78A Non-commercial Working
136,5,MAR 79A,156.9750,FM,0,2,0,Marine Ch 79A Commercial Vessel Operations
